iter	Passed	Remaining
0	151	151155
1	152	75928
2	152	50810
3	155	38644
4	156	31072
5	157	26030
6	157	22394
7	158	19680
8	159	17543
9	159	15829
10	160	14430
11	161	13269
12	161	12279
13	162	11436
14	164	10830
15	165	10195
16	166	9624
17	167	9118
18	167	8662
19	168	8259
20	169	7895
21	170	7564
22	170	7255
23	171	6979
24	172	6719
25	174	6547
26	175	6325
27	176	6117
28	176	5924
29	177	5749
30	178	5583
31	179	5425
32	180	5274
33	180	5135
34	181	4999
35	181	4869
36	182	4746
37	184	4670
38	185	4569
39	186	4472
40	187	4374
41	188	4299
42	189	4226
43	190	4146
44	191	4068
45	195	4052
46	196	3994
47	207	4107
48	209	4068
49	210	4003
50	214	4000
51	216	3948
52	218	3909
53	221	3872
54	224	3857
55	225	3808
56	227	3756
57	228	3716
58	229	3666
59	231	3629
60	235	3620
61	237	3590
62	238	3544
63	239	3509
64	241	3474
65	242	3435
66	243	3397
67	244	3356
68	246	3328
69	248	3299
70	250	3271
71	251	3242
72	253	3217
73	254	3184
74	256	3159
75	256	3123
76	258	3094
77	259	3069
78	260	3039
79	263	3026
80	264	2995
81	264	2965
82	266	2944
83	268	2924
84	269	2900
85	271	2883
86	271	2852
87	272	2826
88	273	2801
89	275	2785
90	277	2769
91	278	2753
92	280	2735
93	281	2715
94	282	2692
95	283	2670
96	284	2649
97	285	2631
98	287	2614
99	288	2596
100	289	2576
101	289	2551
102	291	2538
103	292	2518
104	293	2505
105	295	2493
106	297	2479
107	298	2467
108	300	2455
109	302	2443
110	303	2428
111	304	2417
112	306	2402
113	307	2389
114	308	2373
115	309	2354
116	310	2340
117	311	2327
118	312	2310
119	313	2296
120	314	2285
121	315	2272
122	316	2253
123	317	2241
124	318	2231
125	319	2218
126	320	2204
127	321	2188
128	322	2175
129	323	2163
130	324	2151
131	326	2144
132	327	2134
133	328	2123
134	330	2115
135	331	2104
136	332	2093
137	333	2081
138	334	2072
139	336	2064
140	337	2056
141	338	2047
142	340	2041
143	342	2033
144	343	2025
145	344	2017
146	346	2011
147	348	2004
148	349	1997
149	352	1997
150	354	1992
151	355	1983
152	357	1977
153	358	1971
154	360	1963
155	361	1955
156	363	1949
157	363	1938
158	365	1931
159	366	1924
160	368	1919
161	369	1910
162	370	1901
163	371	1893
164	373	1887
165	373	1877
166	375	1870
167	377	1867
168	378	1861
169	379	1854
170	381	1848
171	383	1844
172	384	1837
173	386	1833
174	387	1826
175	388	1820
176	392	1823
177	393	1815
178	393	1806
179	394	1797
180	394	1786
181	395	1777
182	396	1768
183	396	1759
184	397	1752
185	399	1750
186	400	1741
187	402	1736
188	403	1731
189	404	1726
190	406	1720
191	407	1716
192	409	1712
193	410	1704
194	411	1699
195	413	1695
196	414	1689
197	415	1684
198	417	1681
199	419	1677
200	420	1670
201	421	1664
202	422	1658
203	423	1653
204	425	1649
205	427	1646
206	428	1642
207	430	1638
208	431	1633
209	433	1630
210	435	1628
211	437	1624
212	438	1620
213	440	1617
214	441	1610
215	442	1605
216	444	1603
217	445	1599
218	447	1596
219	449	1592
220	450	1588
221	452	1584
222	453	1581
223	455	1578
224	457	1575
225	459	1572
226	460	1568
227	462	1565
228	463	1562
229	465	1559
230	467	1555
231	469	1552
232	470	1548
233	471	1544
234	473	1540
235	474	1536
236	475	1532
237	477	1529
238	479	1526
239	480	1522
240	482	1518
241	483	1515
242	485	1512
243	487	1509
244	488	1506
245	489	1501
246	491	1498
247	493	1496
248	495	1493
249	496	1490
250	498	1487
251	499	1482
252	500	1477
253	502	1475
254	503	1472
255	505	1470
256	507	1467
257	508	1462
258	509	1457
259	510	1454
260	511	1449
261	513	1447
262	515	1445
263	517	1442
264	519	1439
265	520	1435
266	521	1431
267	523	1428
268	524	1426
269	526	1422
270	528	1421
271	529	1417
272	530	1413
273	532	1411
274	534	1408
275	535	1405
276	537	1403
277	538	1399
278	539	1395
279	541	1391
280	542	1389
281	544	1386
282	546	1384
283	548	1381
284	549	1378
285	550	1374
286	551	1370
287	553	1367
288	554	1364
289	555	1360
290	557	1357
291	558	1354
292	559	1350
293	560	1346
294	561	1342
295	562	1338
296	564	1336
297	565	1333
298	567	1330
299	568	1327
300	569	1323
301	570	1318
302	571	1315
303	573	1312
304	602	1372
305	603	1368
306	604	1365
307	606	1363
308	607	1358
309	608	1355
310	610	1352
311	611	1349
312	614	1348
313	615	1344
314	618	1345
315	619	1340
316	620	1336
317	621	1333
318	622	1329
319	623	1325
320	625	1323
321	627	1320
322	628	1318
323	630	1316
324	632	1313
325	632	1308
326	633	1304
327	634	1299
328	635	1295
329	635	1291
330	636	1286
331	637	1283
332	639	1281
333	640	1277
334	641	1273
335	642	1270
336	643	1265
337	645	1263
338	646	1260
339	648	1257
340	649	1255
341	650	1252
342	652	1249
343	653	1246
344	654	1243
345	656	1240
346	657	1237
347	659	1235
348	660	1231
349	661	1228
350	662	1224
351	663	1220
352	664	1218
353	666	1216
354	668	1214
355	669	1211
356	671	1209
357	672	1206
358	674	1203
359	675	1201
360	677	1199
361	679	1197
362	680	1194
363	682	1191
364	683	1189
365	685	1187
366	687	1186
367	689	1184
368	692	1184
369	695	1183
370	697	1183
371	720	1217
372	726	1221
373	728	1218
374	730	1217
375	731	1214
376	734	1213
377	735	1209
378	736	1206
379	737	1203
380	738	1200
381	740	1197
382	742	1195
383	743	1192
384	744	1188
385	745	1186
386	746	1183
387	748	1179
388	749	1177
389	751	1175
390	753	1173
391	754	1170
392	756	1167
393	757	1165
394	759	1163
395	760	1160
396	762	1158
397	763	1155
398	764	1151
399	765	1148
400	766	1145
401	768	1143
402	770	1141
403	772	1139
404	773	1136
405	774	1133
406	776	1130
407	778	1129
408	779	1126
409	781	1124
410	783	1123
411	784	1120
412	785	1116
413	787	1114
414	789	1112
415	790	1110
416	793	1109
417	794	1105
418	795	1102
419	796	1100
420	798	1098
421	800	1096
422	802	1094
423	803	1091
424	804	1088
425	805	1085
426	807	1083
427	809	1081
428	811	1079
429	812	1076
430	813	1074
431	815	1071
432	816	1069
433	818	1067
434	820	1065
435	822	1063
436	823	1060
437	824	1058
438	826	1056
439	828	1054
440	829	1051
441	832	1050
442	833	1047
443	834	1045
444	836	1043
445	838	1041
446	840	1039
447	841	1037
448	842	1034
449	844	1031
450	845	1029
451	847	1027
452	848	1024
453	849	1021
454	850	1018
455	851	1015
456	853	1013
457	854	1011
458	855	1008
459	857	1006
460	858	1003
461	860	1001
462	861	999
463	862	996
464	863	993
465	865	991
466	867	990
467	868	987
468	870	985
469	871	982
470	872	979
471	873	977
472	874	973
473	875	971
474	875	968
475	877	965
476	878	963
477	880	961
478	895	973
479	905	981
480	911	983
481	913	981
482	915	979
483	917	977
484	918	975
485	920	973
486	922	971
487	924	969
488	925	966
489	926	964
490	927	961
491	929	960
492	931	958
493	933	956
494	934	952
495	935	950
496	937	948
497	939	946
498	940	944
499	942	942
500	944	940
501	945	938
502	947	936
503	948	933
504	950	931
505	952	929
506	953	927
507	955	925
508	956	923
509	958	920
510	960	918
511	961	916
512	963	914
513	964	912
514	965	909
515	967	907
516	968	905
517	970	903
518	972	901
519	973	898
520	975	896
521	976	894
522	978	892
523	979	890
524	981	887
525	982	885
526	984	883
527	985	881
528	988	880
529	990	878
530	992	876
